id,titre,chambres,surface_m2,dort,gp_nuit,voiture,jardin,hot_tub_sauna,note,nb_echanges,localisation,alerte,priorite,url
2235541,"Lára – Perfect family house / Looking for summer 2026",4,210,7,93,OUI – Kia Ceed 5pl,OUI,OUI (jacuzzi + trampoline + BBQ),,5,"Reykjavik Árbær (~20 min bus centre)","Cherche activement été 2026 ; voiture explicitement mentionnée dans description",1,https://www.homeexchange.com/holiday-home/2235541
1404375,"Modern family home – Downtown Reykjavík – hot tub & private garden",4,230,6,166,OUI,OUI (backyard privé),OUI (jacuzzi + BBQ),,6,"Reykjavik downtown (15 min à pied centre)","166 GP = très avantageux vs nos 280 ; voiture confirmée ; super localisation",1,https://www.homeexchange.com/holiday-home/1404375
1267755,"Birgir – Modern spacious villa in Garðabær with jacuzzi",4,230,6,176,OUI,OUI (privé + trampoline),OUI (jacuzzi + BBQ),,0,"Garðabær (~15 min centre en voiture)","176 GP très avantageux ; trampoline enfants ; voiture + vélos ; prise VE",1,https://www.homeexchange.com/holiday-home/1267755
2349750,"Beautiful family home – best location in downtown Reykjavik",6,260,14,190,OUI,OUI (backyard + BBQ),OUI (jacuzzi),,0,"Reykjavik downtown (vieille ville)","6 chambres ; 190 GP excellent ; famille de 7 ados ; dort 14!",1,https://www.homeexchange.com/holiday-home/2349750
1485097,"Looking for summer 2026 exchanges",4,200,11,181,NON,OUI (backyard + BBQ),NON,,13,"Seltjarnarnes (5 min centre en voiture)","181 GP très avantageux ; 13 échanges = hôte expérimenté ; pas de voiture",2,https://www.homeexchange.com/holiday-home/1485097
1406917,"Thorvardur – Spacious house in Reykjavik city centre",4,300,5,212,OUI (VE),OUI,OUI (jacuzzi + BBQ + cheminée),5.0/5,8,"Reykjavik centre (10 min à pied)","Voiture électrique confirmée ; note parfaite 5.0/5 ; excellent score",2,https://www.homeexchange.com/holiday-home/1406917
3043724,"Davið – Spacious Family Home with Private Garden & Hot Tub",5,270,9,223,OUI,OUI (privé),OUI (hot tub + BBQ + cuisine ext),,depuis 2014,"Reykjavik centre (10 min à pied Hallgrímskirkja)","Voiture + vélos + maisonnette enfants ; hôte très expérimenté",2,https://www.homeexchange.com/holiday-home/3043724
1452482,"Family home with a patio and garden",4,208,9,224,OUI,OUI (patio + jardin + BBQ),NON,,23,"Reykjavik (quartier familial)","224 GP ; 23 échanges = hôte le plus expérimenté de la liste ! Voiture confirmée",2,https://www.homeexchange.com/holiday-home/1452482
1863163,"Hinrik – Hinrik's house + bonus cabane Mývatn",4,135,10,225,OUI,OUI (BBQ),NON,,7,"Seltjarnarnes (proche centre)","Bonus UNIQUE : cabane au lac Mývatn (Nord) disponible ; chat + chien",2,https://www.homeexchange.com/holiday-home/1863163
2076268,"Steinunn – Amazing nature just a stone-throw away",4,266,7,250,OUI 7pl (à confirmer),OUI,OUI (sauna + BBQ + billard + vélos),4.9/5,10,"Reykjavik (10 min bus centre)","1 seule salle de bain ⚠️ ; voiture 7 places à confirmer ; sauna",2,https://www.homeexchange.com/holiday-home/2076268
